Date,Description,Debit/Credit,Balance,Funding Source
9/15/25,"TWILIO INC, SAN FRANCISCO, CA",-10.02,-46994.85,
9/13/25,"TWILIO INC, SAN FRANCISCO, CA",-10.12,-46984.83,
9/13/25,"DELTA INTERNET DELTA.C, ATLANTA, GA",-464.96,145960.37,
9/13/25,AMAZON MKTPLACE PMTS   Amzn.com/bill WA ,99,,
9/12/25,"TWILIO INC, SAN FRANCISCO, CA",-10.01,-47073.71,
9/10/25,"UPWORK * -844873181, SAN FRANCISCO, CA",-1807.31,-47063.7,
9/10/25,"Amazon.com, Amzn.com/bill, WA",-108.65,-3043.49,
9/10/25,"AMAZON MKTPLACE PMTS, Amzn.com/bill, WA",-146.99,,
9/10/25,"OPENAI, SAN FRANCISCO, CA",-150.03,,
9/10/25,"ANTHROPIC, SAN FRANCISCO, CA",-400.23,,
9/10/25,"CURSOR USAGE AUG, NEW YORK, NY",-10.7,,
9/9/25,"UPWORK * -844504240, SAN FRANCISCO, CA",-1974.38,-44695.43,
9/9/25,"TWILIO INC, SAN FRANCISCO, CA",-10.04,,
9/9/25,"OPENAI *CHATGPT SUBSCR, SAN FRANCISCO, CA",-20,,
9/9/25,"HEROKU* AUG-107582724, SAN FRANCISCO, CA",-17,146425.33,
9/7/25,"OPENAI *CHATGPT SUBSCR, SAN FRANCISCO, CA",-21.2,-2787.85,
9/6/25,"TWILIO INC, SAN FRANCISCO, CA",-11.56,-42691.01,
9/5/25,"Upwork -843074981REF, Upwork.com/bi, CA",-340.12,-42679.45,
9/4/25,"TWILIO SENDGRID, SAN FRANCISCO, CA",-59.98,-42339.33,
9/4/25,"GUSTO, FEE 091647",-55,146442.33,
9/2/25,"GOOGLE *GSUITE_swaybet, 650-253-0000, CA",-19.26,-42279.35,
9/2/25,"Upwork -842277294REF, Upwork.com/bi, CA",-1942.79,,
9/2/25,"TWILIO INC, SAN FRANCISCO, CA",-10.34,,
9/2/25,"GOOGLE *CLOUD Gz9PW9, 650-253-0000, CA",-0.01,,
9/2/25,"GOOGLE *CLOUD DM4Q6H, 650-253-0000, CA",-180.58,146497.33,
9/1/25,Interest earned in August 2025,356.55,146677.91,
8/31/25,"GOOGLE *Google One, 650-253-0000, CA",-21.39,-40306.95,
8/31/25,"ARTICLE 67899, TACOMA, WA",-1989.16,146321.36,
8/29/25,"PAY* HANDY.COM-AUG29, INDIANAPOLIS, IN",-117,-2766.65,
8/29/25,"PAY* HANDY.COM-AUG29, INDIANAPOLIS, IN",-25,,
8/28/25,"GITHUB, INC., SAN FRANCISCO, CA",-0.02,148310.52,
8/28/25,"GOOGLE *CLOUD 5Q42V6, 650-253-0000, CA",-1000,,
8/28/25,"AMAZON MKTPLACE PMTS, Amzn.com/bill, WA",-99,-40285.56,
8/26/25,"Upwork -840095937REF, Upwork.com/bi, CA",-1937.52,-40186.56,
8/26/25,"RESIDENT* NECTAR, JEFFERSONVILL, IN",-2062.03,-2624.65,
8/25/25,"SENTRY, SAN FRANCISCO, CA",-41.29,-38249.04,
8/25/25,"TWILIO INC, SAN FRANCISCO, CA",-10.01,,
8/25/25,"CHATBASE, TORONTO, ON",-40,149310.54,
8/22/25,"THEVERGE.COM, WASHINGTON DC, DC",-7,-562.62,
8/22/25,"TWILIO INC, SAN FRANCISCO, CA",-10.02,-38197.74,
8/21/25,"TWILIO INC, SAN FRANCISCO, CA",-10.01,-38187.72,
8/21/25,"CURSOR, AI POWERED IDE, NEW YORK, NY",-21.4,,
8/20/25,"BILL.COM LLC, BILLING",-20.33,149350.54,
8/19/25,"UPWORK * -837926041, SAN FRANCISCO, CA",-2309.23,-38156.31,
8/19/25,"UPWORK * -838060455, SAN FRANCISCO, CA",-1309.94,,
8/15/25,"AMERICAN AIRLINES, PHOENIX, AZ",-179.53,149370.87,
8/14/25,"DUN& BRADSTREET ONLINE, 800-892-2980, CA",-249.32,149550.4,
8/13/25,"Amazon Tips, Amzn.com/bill, WA",-10,-34537.14,
8/12/25,"UPWORK * -835793533, SAN FRANCISCO, CA",-2288.18,-34527.14,
8/12/25,"UPWORK * -835928643, SAN FRANCISCO, CA",-434.37,,
8/12/25,"OPENAI, SAN FRANCISCO, CA",-150.07,,
8/12/25,"Amazon.com, Amzn.com/bill, WA",-211.34,,
8/10/25,"TWILIO INC, SAN FRANCISCO, CA",-10.36,-31443.18,
8/10/25,"CURSOR USAGE JUL, NEW YORK, NY",-10.7,,
8/9/25,"OPENAI *CHATGPT SUBSCR, SAN FRANCISCO, CA",-20,-31422.12,
8/8/25,"HEROKU* JUL-107024988, SAN FRANCISCO, CA",-17,149799.72,
8/7/25,"OPENAI *CHATGPT SUBSCR, SAN FRANCISCO, CA",-21.2,-555.62,
8/6/25,"TWILIO SENDGRID, SAN FRANCISCO, CA",-24.95,-31402.12,
8/5/25,"UPWORK * -833617888, SAN FRANCISCO, CA",-2133.04,-31377.17,
8/5/25,"GUSTO, FEE 979049",-55,149816.72,
8/2/25,"GOOGLE *GSUITE_swaybet, 650-253-0000, CA",-19.26,-29244.13,
8/2/25,"GOOGLE *CLOUD 9vKT9W, 650-253-0000, CA",-407.98,149871.72,
8/2/25,"GOOGLE *CLOUD DzX7TJ, 650-253-0000, CA",-0.01,,
8/1/25,Interest earned in July 2025,371.16,150279.7,
7/31/25,"GOOGLE *Google One, 650-253-0000, CA",-21.39,-29224.86,
7/30/25,"UPWORK * -831769250, SAN FRANCISCO, CA",-245.35,-29203.47,
7/29/25,"UPWORK * -831406601, SAN FRANCISCO, CA",-2257.82,-28958.12,
7/27/25,"LinkedInPreD *25906824, Mountain View, CA",-577.68,149908.54,
7/27/25,"TWILIO INC, SAN FRANCISCO, CA",-10,-26700.3,
7/25/25,"SENTRY, SAN FRANCISCO, CA",-35.77,-26690.3,
7/25/25,"GUSTO, TAX 609792",-686.1,150486.22,
7/25/25,"GUSTO, NET 610613",-1768.4,,
7/24/25,"Amazon.com, Amzn.com/bill, WA",-28.08,-26654.53,
7/24/25,"AMAZON MKTPLACE PMTS, Amzn.com/bill, WA",-61.47,-534.42,
7/22/25,"UPWORK * -829263717, SAN FRANCISCO, CA",-2657.96,-26626.45,
7/22/25,"TWILIO INC, SAN FRANCISCO, CA",-10.34,,
7/22/25,"BILL.COM LLC, BILLING",-48.15,152940.72,
7/21/25,"OPENAI, SAN FRANCISCO, CA",-150.14,-23958.15,
7/21/25,"CURSOR, AI POWERED IDE, NEW YORK, NY",-21.4,,
7/21/25,LinkedInPreC *92800606 Mountain View CA ,74.89,-472.95,
7/20/25,"GOOGLE *CLOUD 8J3KDR, 650-253-0000, CA",-500,152988.87,
7/20/25,"TWINR INC., VAUDREUIL-DOR, QC",-87.5,-23786.61,
7/20/25,"ANTHROPIC, SAN FRANCISCO, CA",-53.5,,
7/20/25,"TWINR INC., VAUDREUIL-DOR, QC",-2,,
7/18/25,"UPWORK * -827860618, SAN FRANCISCO, CA",-658.67,-23697.11,
7/18/25,"GUSTO, TAX 386182",-271.95,153542.37,
7/18/25,"GUSTO, NET 380064",-859.23,,
7/17/25,"ORLANDO AIRPORT MARR, ORLANDO, FL",-208.13,154673.55,
7/17/25,"TWINR INC., VAUDREUIL-DOR, QC",-93.75,-23038.44,
7/17/25,"TWINR INC., VAUDREUIL-DOR, QC",-2,,
7/17/25,AMERICAN               800-433-7300  TX ,608.01,,
7/17/25,"GUSTO, NET 277978",-2808.63,,
7/17/25,"GUSTO, TAX 291404",-1426.04,,
7/17/25,"GUSTO, TAX 290030",-1508.54,,
7/17/25,"GUSTO, NET 277978",-2810.81,,
7/17/25,"GUSTO, NET 278975",-2810.8,,
7/17/25,"GUSTO, TAX 291404",-1502.37,,
7/16/25,"TWILIO INC, SAN FRANCISCO, CA",-10.89,-22942.69,
7/15/25,"UPWORK * -827095899, SAN FRANCISCO, CA",-2444.02,-22931.8,
7/15/25,"LinkedInPreC *92800606, Mountain View, CA",-74.89,-547.84,
7/15/25,"DELTA INTERNET DELTA.C, ATLANTA, GA",-127.93,167140.86,
7/13/25,"AMAZON MKTPLACE PMTS, Amzn.com/bill, WA",-49.81,-20487.78,
7/13/25,"AMAZON MKTPLACE PMTS, Amzn.com/bill, WA",-49.81,-472.95,
7/10/25,"HEROKU* JUN-106457466, SAN FRANCISCO, CA",-16.17,167268.79,
7/9/25,"PA BCCO CORP FEE-DOS, HARRISBURG, PA",-350,-423.14,
7/9/25,"TWILIO INC, SAN FRANCISCO, CA",-11.3,-20437.97,
7/9/25,"OPENAI *CHATGPT SUBSCR, SAN FRANCISCO, CA",-20,,
7/8/25,"NAME-CHEAP.COM* LY0OMY, PHOENIX, AZ",-32.36,167284.96,
7/8/25,"UPWORK * -824937417, SAN FRANCISCO, CA",-2634.62,-20406.67,
7/7/25,"OPENAI *CHATGPT SUBSCR, SAN FRANCISCO, CA",-21.2,-73.14,
7/5/25,"DELTA INTERNET DELTA.C, ATLANTA, GA",-303.49,167317.32,
7/4/25,"TWILIO INC, SAN FRANCISCO, CA",-10.23,-17772.05,
7/4/25,"TWILIO SENDGRID, SAN FRANCISCO, CA",-24.95,,
7/4/25,AMERICAN               800-433-7300  TX ,610.96,167620.81,
7/2/25,"Google CLOUD D9ZB2H, Mountain View, CA",-48.94,-17736.87,
7/2/25,"GOOGLE *GSUITE_swaybet, 650-253-0000, CA",-19.26,,
7/2/25,"GOOGLE *CLOUD 6NV35T, 650-253-0000, CA",-415.66,167009.85,
7/2/25,"Google CLOUD zv8S5X, Mountain View, CA",-0.08,,
7/2/25,"AMERICAN AIRLINES, PHOENIX, AZ",-608.01,,
7/2/25,"AMERICAN AIRLINES, PHOENIX, AZ",-610.96,,
7/1/25,Interest earned in June 2025,144.9,168644.48,
7/1/25,"UPWORK * -822754447, SAN FRANCISCO, CA",-2250.8,-17668.59,
7/1/25,"GOOGLE *Google One, 650-253-0000, CA",-21.39,,
6/30/25,"TWILIO SENDGRID, SAN FRANCISCO, CA",-0.33,-15396.4,
6/28/25,"TWILIO INC, SAN FRANCISCO, CA",-10,-15396.07,
6/28/25,"MARRIOTT BROOKLYN BR, BROOKLYN, NY",-1074.21,168499.58,
6/27/25,"Arthur Vining Da, 202506",2788.48,169573.79,
6/26/25,"The Lindy Snider, Receivable",25000,166785.31,
6/25/25,"SENTRY, SAN FRANCISCO, CA",-35.42,-15386.07,
6/25/25,"OPENAI, SAN FRANCISCO, CA",-106,141785.31,
6/24/25,"UPWORK * -820545441, SAN FRANCISCO, CA",-1911.38,-15350.65,
6/23/25,"The Craig Snider, Receivable",50000,141891.31,
6/23/25,"BILL.COM LLC, BILLING",-45,,
6/22/25,"TWILIO INC, SAN FRANCISCO, CA",-11.46,-13439.27,
6/21/25,"CURSOR, AI POWERED IDE, NEW YORK, NY",-21.4,-13427.81,
6/20/25,"TWINR INC., VAUDREUIL-DOR, QC",-2,,
6/20/25,"TWINR INC., +14388807741, CAN",-87.5,-13406.41,
6/19/25,"AMERICAN AIRLINES, PHOENIX, AZ",-397.23,,
6/19/25,"AMERICAN AIRLINES, PHOENIX, AZ",-580.87,91936.31,
6/19/25,AMERICAN               800-433-7300  TX ,397.23,,
6/17/25,"TWINR INC., +14388807741, CAN",-93.75,-13316.91,
6/17/25,"GOOGLE *CLOUD 5NBJR5, 650-253-0000, CA",-200,92517.18,
6/17/25,"TWINR INC., +14388807741, CAN",-2,,
6/17/25,"UPWORK * -818381116, SAN FRANCISCO, CA",-2775.71,,
6/16/25,"HEALTH INS PREMIUM PMT, WEATOGUE, CT",-1081.82,92717.18,
6/14/25,"TWILIO INC, +18778894546, CA",-10.01,-10445.45,
6/13/25,"Amazon.com, Amzn.com/bill, WA",-51.94,-51.94,
6/13/25,"Digital Harbor F, Receivable",75000,93799,
6/10/25,"UPWORK * -816238517, SAN FRANCISCO, CA",-2754.13,-10435.44,
6/9/25,"OPENAI, +14158799686, CA",-150.01,-7681.31,
6/9/25,"OPENAI *CHATGPT SUBSCR, +14158799686, CA",-20,,
6/8/25,"GOOGLE *CLOUD 3V4SRP, 650-253-0000, CA",-100,18799,
6/7/25,"DELTA, 800-221-1212, GA",-552.55,18899,
6/7/25,"DELTA, 800-221-1212, GA",-552.55,,
6/7/25,"TWILIO INC, +18778894546, CA",-10.01,-7511.3,
6/5/25,"UPWORK * -814655596, SAN FRANCISCO, CA",-150.06,-7501.29,
6/5/25,"TWILIO INC, +18778894546, CA",-10.26,,
6/4/25,"TWILIO SENDGRID, +18778894546, CA",-19.95,-7340.97,
6/3/25,"UPWORK * -814085609, SAN FRANCISCO, CA",-2197.43,-7321.02,
6/3/25,"HILTON ADVPURCH8002367, MEMPHIS, TN",-1374.77,,
6/2/25,"DELTA, DELTA.COM, CA",-44.99,-3748.82,
6/2/25,"GOOGLE*CLOUD JWQ2KX, CC GOOGLE.COM, CA",-141.21,,
6/2/25,"Google CLOUD BF9WRT, Mountain View, CA",-3.55,,
6/2/25,"GOOGLE *GSUITE_swaybet, 650-253-0000, CA",-19.26,,
6/2/25,"DELTA INTERNET DELTA.C, ATLANTA, GA",-1196.98,,
6/2/25,"DELTA INTERNET DELTA.C, ATLANTA, GA",-74.99,,
6/1/25,Interest earned in May 2025,4.1,20004.1,
5/29/25,"UPWORK * -812363145, SAN FRANCISCO, CA",-2133.57,-2267.84,
5/29/25,"UPWORK * -812363552, SAN FRANCISCO, CA",-134.27,,
5/28/25,Transfer from Ally Bank (6134),20000,20000,
5/20/25,"Bill.com, ACCTVERIFY",-0.67,0,
5/20/25,"Bill.com, ACCTVERIFY",0.67,,
