Date,Description,Debit/Credit,Balance,Name,Additional information,IMAD/trace ID,Bill due date,Bill number,Bill notes
2025-09-15,"AMAZON MKTPLACE PMTS, Amzn.com/bill, WA",-42.25,-3193.34,,,,,,
2025-09-15,"APPLE.COM/BILL, 866-712-7753, CA",-107.6,,,,,,,
2025-09-15,"TWILIO INC, SAN FRANCISCO, CA",-10.02,-46994.85,,,,,,
2025-09-13,"TWILIO INC, SAN FRANCISCO, CA",-10.12,-46984.83,,,,,,
2025-09-13,"DELTA INTERNET DELTA.C, ATLANTA, GA",-464.96,145960.37,,,,,,
2025-09-13,AMAZON MKTPLACE PMTS   Amzn.com/bill WA ,99.0,,,,,,,
2025-09-12,"TWILIO INC, SAN FRANCISCO, CA",-10.01,-47073.71,,,,,,
2025-09-10,"UPWORK * -844873181, SAN FRANCISCO, CA",-1807.31,-47063.7,,,,,,
2025-09-10,"Amazon.com, Amzn.com/bill, WA",-108.65,-3043.49,,,,,,
2025-09-10,"AMAZON MKTPLACE PMTS, Amzn.com/bill, WA",-146.99,,,,,,,
2025-09-10,"OPENAI, SAN FRANCISCO, CA",-150.03,,,,,,,
2025-09-10,"ANTHROPIC, SAN FRANCISCO, CA",-400.23,,,,,,,
2025-09-10,"CURSOR USAGE AUG, NEW YORK, NY",-10.7,,,,,,,
2025-09-09,"UPWORK * -844504240, SAN FRANCISCO, CA",-1974.38,-44695.43,,,,,,
2025-09-09,"TWILIO INC, SAN FRANCISCO, CA",-10.04,,,,,,,
2025-09-09,"OPENAI *CHATGPT SUBSCR, SAN FRANCISCO, CA",-20.0,,,,,,,
2025-09-09,"HEROKU* AUG-107582724, SAN FRANCISCO, CA",-17.0,146425.33,,,,,,
2025-09-07,"OPENAI *CHATGPT SUBSCR, SAN FRANCISCO, CA",-21.2,-2787.85,,,,,,
2025-09-06,"TWILIO INC, SAN FRANCISCO, CA",-11.56,-42691.01,,,,,,
2025-09-05,"Upwork -843074981REF, Upwork.com/bi, CA",-340.12,-42679.45,,,,,,
2025-09-04,"TWILIO SENDGRID, SAN FRANCISCO, CA",-59.98,-42339.33,,,,,,
2025-09-04,"GUSTO, FEE 091647",-55.0,146442.33,GUSTO,FEE 091647,021000026587855,,,
2025-09-02,"GOOGLE *GSUITE_swaybet, 650-253-0000, CA",-19.26,-42279.35,,,,,,
2025-09-02,"Upwork -842277294REF, Upwork.com/bi, CA",-1942.79,,,,,,,
2025-09-02,"TWILIO INC, SAN FRANCISCO, CA",-10.34,,,,,,,
2025-09-02,"GOOGLE *CLOUD Gz9PW9, 650-253-0000, CA",-0.01,,,,,,,
2025-09-02,"GOOGLE *CLOUD DM4Q6H, 650-253-0000, CA",-180.58,146497.33,,,,,,
2025-09-01,Interest earned in August 2025,356.55,146677.91,,,,,,
